League,Season,Team,xG,xGA,xPTS,Press,Press_Succ,Press%,P_Def_3rd,P_Mid_3rd,P_Att_3rd,Poss,Touches,T_Def_3rd,T_Mid_3rd,T_Att_3rd,T_Att_Pen,Drib_Succ,Drib_Att,DribSucc%,#Players_Dribbled,Megs,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_TotDist,Pass_PrgDist
La Liga,21-22,Alaves,38.46,63.57,37.6,5734,1502,26.2,1849,2638,1247,41.8,18568,6282,8688,4456,658,260,514,50.6,287,43,9840,14117,69.7,216669,89729
La Liga,21-22,Athletic Club,57.01,39.29,62.79,5469,1526,27.9,1387,2577,1505,48.1,21566,6454,10308,6017,906,272,539,50.5,303,42,13152,17285,76.1,257574,96881
La Liga,21-22,Atletico Madrid,59.45,35.77,69.01,5238,1614,30.8,1658,2340,1240,50.6,23293,7313,11175,6147,977,324,573,56.5,343,27,15299,19178,79.8,290203,97041
La Liga,21-22,Barcelona,70.54,35.08,73.6,5238,1674,32,1429,2443,1366,64.8,29117,7813,14983,8205,1210,403,681,59.2,434,27,21651,24990,86.6,409242,119335
La Liga,21-22,Cadiz,41.8,54.74,44.18,5972,1745,29.2,2290,2640,1042,40.9,18757,6798,8588,4498,713,239,476,50.2,275,33,10323,14380,71.8,220451,81646
La Liga,21-22,Celta Vigo,44.94,46.12,51.23,6365,1988,31.2,2068,2937,1360,55.6,24973,8014,12444,6063,813,276,507,54.4,302,35,16191,20504,79,321145,97885
La Liga,21-22,Elche,36.81,61.07,35.67,5172,1382,26.7,1943,2294,935,48.4,21126,7743,10022,4569,561,292,569,51.3,317,30,13106,16809,78,266243,95304
La Liga,21-22,Espanyol,38.9,57.12,40.03,4937,1352,27.4,1947,2088,902,47.1,21243,7794,10023,4810,645,319,589,54.2,346,33,13438,16808,80,260145,89395
La Liga,21-22,Getafe,31.55,44.49,42.87,5897,1616,27.4,1665,2954,1278,41.2,18824,6124,9212,4420,622,226,461,49,252,18,10436,14530,71.8,218237,84828
La Liga,21-22,Granada,41.3,66.09,37.24,5324,1577,29.6,1876,2418,1030,44.6,19218,6935,8918,4446,664,229,459,49.9,252,22,10770,14840,72.6,223774,84883
La Liga,21-22,Levante,57.56,62.61,52.73,5575,1520,27.3,1804,2505,1266,46.9,20622,7663,9434,4739,791,313,620,50.5,351,39,12715,16411,77.5,252303,90463
La Liga,21-22,Mallorca,40.58,56.14,39.75,5409,1553,28.7,1773,2475,1161,45.1,19564,6891,9055,4809,731,335,581,57.7,367,27,11175,15002,74.5,220148,85060
La Liga,21-22,Osasuna,42.03,50.59,48.99,5529,1573,28.4,1605,2510,1414,46.7,20730,6148,9971,5602,786,235,434,54.1,266,21,12020,16433,73.1,255226,100297
La Liga,21-22,Rayo Vallecano,47.03,52.15,50.46,6118,1866,30.5,1870,2768,1480,49.9,21476,6950,10269,5603,805,313,614,51,352,47,12868,16831,76.5,266975,96808
La Liga,21-22,Betis,55.9,46.79,56.49,5322,1493,28.1,1719,2440,1163,54.1,23864,7662,11496,6083,953,347,630,55.1,383,35,15791,19374,81.5,304808,100324
La Liga,21-22,Real Madrid,80.22,45.78,73.59,4831,1474,30.5,1574,2049,1208,60.3,28633,8566,13082,8937,1338,418,765,54.6,449,45,21520,24527,87.7,398590,114406
La Liga,21-22,Real Sociedad,56.09,41.51,64.02,5182,1556,30,1657,2249,1276,54.7,23690,7923,11382,5879,928,318,623,51,358,35,15530,19185,80.9,299127,98787
La Liga,21-22,Sevilla,46.85,40.6,57,4772,1456,30.5,1475,2169,1128,59.8,26187,9166,12291,6169,845,291,537,54.2,320,25,18459,22140,83.4,376618,108551
La Liga,21-22,Valencia,42.28,52.24,46.28,6178,1703,27.6,1975,2802,1401,43.6,18146,6027,8162,5066,716,326,600,54.3,358,36,9724,13626,71.4,209515,81494
La Liga,21-22,Villarreal,70.33,47.89,63.85,4841,1498,30.9,1540,2105,1196,57,24547,8205,11752,6216,1088,408,715,57.1,436,40,16876,20390,82.8,337697,109236
La Liga,20-21,Alavés,39.11,51.55,43.23,5451,1510,27.7,1750,2544,1157,42.7,18391,6566,8801,3937,640,274,477,57.4,302,16,10284,14169,72.6,221451,88735
La Liga,20-21,Athletic Club,43.06,38.46,54.77,5247,1450,27.6,1494,2377,1376,49.8,21646,6458,10859,5688,766,315,529,59.5,335,26,13694,17675,77.5,286035,98184
La Liga,20-21,Atlético Madrid,57.66,35.67,66.41,5124,1540,30.1,1665,2328,1131,52.4,24797,7261,12558,6275,992,366,603,60.7,395,38,16924,20602,82.1,321009,104535
La Liga,20-21,Barcelona,83.96,40.93,78.18,5074,1547,30.5,1402,2331,1341,65.8,32311,7938,15985,10509,1378,505,786,64.2,538,33,25414,28517,89.1,439762,125458
La Liga,20-21,Betis,49.77,47.51,55.37,5263,1514,28.8,1619,2495,1149,53.9,23809,7125,11884,6099,879,359,584,61.5,384,25,15938,19523,81.6,307041,97650
La Liga,20-21,Cádiz,36.7,58.91,39.01,5266,1434,27.2,2097,2303,866,34.3,16108,5912,7405,3627,490,325,513,63.4,354,30,8053,11925,67.5,178284,72914
La Liga,20-21,Celta Vigo,51.32,50.31,52.83,5997,1701,28.4,2063,2850,1084,53.7,23389,8346,11512,4873,656,285,491,58,311,17,15277,19156,79.8,296823,92941
La Liga,20-21,Eibar,42.45,48.84,48.62,5005,1599,31.9,1274,2244,1487,49.6,20968,5646,10272,6105,769,349,566,61.7,379,24,11903,16701,71.3,258509,94793
La Liga,20-21,Elche,30.4,61.63,30.31,5165,1455,28.2,2067,2226,872,47.6,21030,8370,10166,3731,448,379,656,57.8,407,37,13601,16952,80.2,275052,94634
La Liga,20-21,Getafe,35.62,40.4,48.39,6119,1688,27.6,1616,3071,1432,42.8,17830,4863,8188,5645,718,250,459,54.5,272,24,9017,13413,67.2,191115,80118
La Liga,20-21,Granada,41.05,59.82,40.58,5032,1359,27,1618,2347,1067,41,17330,6088,8030,4101,610,309,528,58.5,328,32,9247,13165,70.2,197930,77964
La Liga,20-21,Huesca,37.98,48.64,45.23,5451,1577,28.9,1951,2461,1039,48.3,21468,8287,10018,4683,659,444,692,64.2,481,27,13636,17400,78.4,280112,89385
La Liga,20-21,Levante,40.93,55.13,43.53,5391,1500,27.8,1694,2365,1332,52.4,22070,7921,10275,5224,769,391,653,59.9,434,30,14234,17838,79.8,284117,97886
La Liga,20-21,Osasuna,39.61,49.83,45.1,5329,1549,29.1,1558,2487,1284,43.1,19063,6103,9171,4694,684,247,458,53.9,278,26,10415,14861,70.1,229745,97901
La Liga,20-21,Real Madrid,65.07,38.7,69.98,4875,1425,29.2,1560,2172,1143,59.7,28066,8336,13444,8171,1140,459,718,63.9,483,29,20825,24055,86.6,399432,116529
La Liga,20-21,Real Sociedad,63.15,38.8,67.61,5070,1487,29.3,1423,2340,1307,55.1,22728,6904,11503,5747,929,323,538,60,348,14,14976,18740,79.9,292109,93375
La Liga,20-21,Sevilla,55.86,34.33,66.96,4716,1477,31.3,1392,2199,1125,61.2,26770,8625,13051,6490,863,402,599,67.1,424,22,19429,22824,85.1,390199,112525
La Liga,20-21,Valencia,41.89,55.69,42.38,4857,1305,26.9,1794,2068,995,46.9,20585,7585,9551,4775,624,302,525,57.5,338,15,12953,16456,78.7,272791,93374
La Liga,20-21,Valladolid,37.92,52.56,41.53,5923,1644,27.8,2062,2650,1211,45.1,19624,6684,9267,4809,607,285,522,54.6,310,20,11338,15333,73.9,230046,81720
La Liga,20-21,Villarreal,57.86,43.67,63.77,4994,1425,28.5,1587,2226,1181,55.6,25048,8270,12600,5884,907,456,717,63.6,488,36,17601,20981,83.9,349216,110193
La Liga,19-20,Alavés,38.15,57.93,40.98,5609,1464,26.1,1757,2820,1032,41.1,17992,6134,8850,3878,563,250,466,53.6,277,14,9724,13753,70.7,207059,86512
La Liga,19-20,Athletic Club,42.1,52.42,44.65,5431,1547,28.5,1706,2478,1247,48.7,20945,6617,10445,5181,655,342,567,60.3,374,22,12589,16607,75.8,263278,92587
La Liga,19-20,Atlético Madrid,58.7,31.52,72.35,5111,1532,30,1616,2385,1110,48.5,22042,6513,11157,5571,876,350,585,59.8,372,18,13709,17595,77.9,257089,96920
La Liga,19-20,Barcelona,72.01,37.82,73.14,4843,1487,30.7,1268,2305,1270,66.9,32096,8347,16677,9213,1180,510,820,62.2,541,27,24981,28212,88.5,447366,126905
La Liga,19-20,Betis,48.9,56.3,47.94,4932,1308,26.5,1590,2228,1114,57.1,23922,8180,11426,5892,941,447,692,64.6,482,27,16291,19618,83,318743,95412
La Liga,19-20,Celta Vigo,40.44,44.83,47.26,5389,1542,28.6,2040,2314,1035,51.9,22702,7524,11360,5166,679,367,596,61.6,390,16,14692,18402,79.8,281402,92477
La Liga,19-20,Eibar,42.35,54.33,42.91,5515,1618,29.3,1386,2572,1557,46.3,19711,5278,9802,5668,704,260,439,59.2,284,16,10623,15315,69.4,232440,87898
La Liga,19-20,Espanyol,37,53.28,41.76,5907,1660,28.1,1928,2845,1134,47.3,20408,6895,10186,4489,652,289,507,57,315,15,12032,16181,74.4,249539,88549
La Liga,19-20,Getafe,45.19,43.02,53.79,6261,1865,29.8,1633,3179,1449,44.6,17758,4713,8406,5413,716,262,448,58.5,289,13,8444,13358,63.2,181592,80569
La Liga,19-20,Granada,45.02,43.44,52.6,5811,1577,27.1,1731,2884,1196,43.7,18072,6249,8418,4361,612,303,520,58.3,328,22,9933,13965,71.1,216931,83075
La Liga,19-20,Leganés,38.92,45.62,48.92,5723,1585,27.7,1855,2620,1248,43.8,18956,5893,9224,4875,703,341,576,59.2,378,27,10467,14585,71.8,211269,84034
La Liga,19-20,Levante,49.43,64.25,42.88,4990,1312,26.3,1706,2244,1040,48.4,20354,7558,9477,4498,695,394,670,58.8,429,24,12463,16087,77.5,247502,91418
La Liga,19-20,Mallorca,40.46,65.17,35.36,5626,1526,27.1,2031,2512,1083,44.6,19860,6876,9224,5074,737,382,634,60.3,409,18,11932,15603,76.5,229905,87464
La Liga,19-20,Osasuna,49.04,49.58,51.51,5491,1662,30.3,1525,2722,1244,47.5,20185,6184,9989,5057,749,336,539,62.3,358,17,11102,15680,70.8,233616,91815
La Liga,19-20,Real Madrid,72.16,33.15,77.69,5071,1507,29.7,1469,2469,1133,59.1,27878,7970,13777,7786,1184,463,775,59.7,505,21,20329,23814,85.4,387839,114280
La Liga,19-20,Real Sociedad,50.92,41.89,57.18,5055,1496,29.6,1450,2411,1194,56.6,24174,7810,12304,5603,863,354,591,59.9,372,14,16055,19938,80.5,314338,100328
La Liga,19-20,Sevilla,55.16,36.62,65.71,5071,1540,30.4,1522,2421,1128,58.4,25805,7982,12761,6536,991,434,672,64.6,468,15,17667,21508,82.1,358713,109972
La Liga,19-20,Valencia,45.58,59.07,45.43,5278,1356,25.7,1909,2304,1065,48.9,21957,7974,10516,4831,708,353,557,63.4,376,13,14565,18059,80.7,296827,95694
La Liga,19-20,Valladolid,35.66,53.94,39.38,5770,1529,26.5,2084,2688,998,44.3,19517,6720,9785,4119,547,330,585,56.4,352,18,11236,15246,73.7,230593,81657
La Liga,19-20,Villarreal,65.61,48.59,64.05,5610,1540,27.5,1816,2770,1024,53.2,24211,8164,12023,5406,842,420,675,62.2,447,17,16361,19925,82.1,335324,104151
La Liga,18-19,Alavés,40.87,54.53,44.02,5867,1386,23.6,1963,2755,1149,42.7,18585,6410,8846,4315,672,321,574,55.9,343,15,9814,13919,70.5,203510,87703
La Liga,18-19,Athletic Club,44.44,47.16,50.01,5861,1531,26.1,1720,2781,1360,50.1,21741,6468,10878,5660,776,337,601,56.1,363,17,13267,17393,76.3,271102,100295
La Liga,18-19,Atlético Madrid,51.87,41.43,59.43,6995,1814,25.9,2216,3295,1484,49.4,23298,6545,11445,6717,901,460,693,66.4,481,14,15143,19034,79.6,276009,98528
La Liga,18-19,Barcelona,83.28,44.93,73.96,6225,1796,28.9,1647,2961,1617,64.2,30827,7917,15807,9151,1197,578,912,63.4,613,36,23464,26734,87.8,421072,125653
La Liga,18-19,Betis,51.68,53.54,52.39,5208,1385,26.6,1751,2310,1147,61.7,26963,8172,13566,7121,960,495,793,62.4,538,34,19506,22819,85.5,366265,110101
La Liga,18-19,Celta Vigo,48.7,63.43,41.63,6596,1717,26,2289,3010,1297,51.7,23086,7384,11775,5318,753,475,739,64.3,509,13,15122,18785,80.5,294087,99004
La Liga,18-19,Eibar,56.63,47.88,56.75,6080,1906,31.3,1423,2762,1895,54.1,22712,5109,11445,7419,1026,432,686,63,466,37,13129,18279,71.8,283897,103336
La Liga,18-19,Espanyol,50.16,54.62,50.09,6186,1433,23.2,2102,2845,1239,49.5,22149,7812,10516,5234,805,396,594,66.7,427,17,13998,17703,79.1,280592,99487
La Liga,18-19,Getafe,47.03,44.23,53.19,7141,1861,26.1,2011,3599,1531,40.8,17424,5116,8158,5009,767,343,588,58.3,367,18,8284,12926,64.1,181896,83087
La Liga,18-19,Girona,42.99,55.33,45.17,6240,1516,24.3,2063,2961,1216,48,21532,7904,10424,4554,710,357,609,58.6,398,9,13258,17104,77.5,276484,96684
La Liga,18-19,Huesca,51.38,63.43,44.96,6264,1617,25.8,2076,3023,1165,44.7,19382,6336,9324,4890,802,398,655,60.8,426,18,10778,14817,72.7,218839,88242
La Liga,18-19,Leganés,41.25,43.94,51.15,6369,1508,23.7,2196,2848,1325,42.8,19246,6238,9352,4707,707,322,550,58.5,352,19,10787,15033,71.8,224396,88505
La Liga,18-19,Levante,54.09,78.86,40.23,5943,1404,23.6,2007,2712,1224,45.6,19154,6547,8919,4957,781,456,761,59.9,490,21,10953,14737,74.3,215012,85727
La Liga,18-19,Rayo Vallecano,47.23,62.32,43.02,5742,1520,26.5,2144,2605,993,48.7,20898,7382,9958,5013,697,576,897,64.2,624,23,12606,16257,77.5,251724,92793
La Liga,18-19,Real Madrid,68.65,48.68,64.77,5700,1505,26.4,1538,2732,1430,60,28248,7697,14485,7812,1217,493,772,63.9,518,25,20684,24065,86,386680,117086
La Liga,18-19,Real Sociedad,47.99,48.09,51.13,6432,1631,25.4,1987,3054,1391,51.6,23020,8139,11454,5109,741,439,729,60.2,474,12,14700,18446,79.7,292992,96357
La Liga,18-19,Sevilla,69.16,46.71,65.08,5782,1501,26,1859,2623,1300,52.2,22894,7245,10841,6249,1084,416,675,61.6,449,15,14612,18654,78.3,285396,100487
La Liga,18-19,Valencia,61.88,42.85,65.16,6489,1598,24.6,2042,3074,1373,47.1,21921,7012,10554,5707,936,395,652,60.6,419,20,13821,17600,78.5,276786,100037
La Liga,18-19,Valladolid,41.64,57.65,41.8,6282,1576,25.1,2337,2951,994,47,20496,7016,9784,4972,667,357,539,66.2,379,15,12161,16196,75.1,246519,87905
La Liga,18-19,Villarreal,54.8,56.12,52.18,6524,1515,23.2,2117,3152,1255,48.3,21874,6921,10838,5494,923,443,720,61.5,477,27,13853,17509,79.1,280991,99711
La Liga,17-18,Alavés,37.88,58.2,39.03,6255,1547,24.7,2197,2904,1154,39.8,17926,6338,8387,4213,625,362,591,61.3,404,28,9509,13606,69.9,194777,80853
La Liga,17-18,Athletic Club,51.79,50.71,54.13,6774,1866,27.5,1902,3255,1617,49.7,21393,6471,10581,5736,843,315,579,54.4,354,33,12929,17255,74.9,277961,100054
La Liga,17-18,Atlético Madrid,50.29,35.48,61.6,6564,1874,28.5,2206,2985,1373,47.3,22815,7126,11205,5920,844,381,658,57.9,430,26,14339,18379,78,265629,95471
La Liga,17-18,Barcelona,90.49,41.62,79.44,6079,1759,28.9,1724,2788,1567,63.1,29177,7891,14432,8954,1390,600,987,60.8,662,41,21664,25134,86.2,396921,122484
La Liga,17-18,Betis,46.72,49.76,50.51,5365,1444,26.9,1733,2544,1088,57.7,25191,8352,12818,5701,682,373,573,65.1,396,22,17551,21171,82.9,343319,105508
La Liga,17-18,Celta Vigo,54.59,57.68,48.83,5463,1618,29.6,1861,2477,1125,56.1,24778,8267,12577,5610,820,358,586,61.1,390,20,16787,20793,80.7,335823,106317
La Liga,17-18,Eibar,41.42,45.53,50.79,6190,1956,31.6,1410,2856,1924,52.4,21986,5387,11118,6763,828,330,557,59.2,366,19,12667,17800,71.2,281297,99064
La Liga,17-18,Espanyol,41.58,53.37,44.68,6202,1660,26.8,1968,2940,1294,46.8,21172,7263,10282,4848,672,355,568,62.5,389,27,12581,17009,74,250370,89509
La Liga,17-18,Getafe,49.03,39.65,57.53,6501,1679,25.8,2059,3117,1325,39.4,17274,5677,7674,4837,672,317,566,56,346,24,8543,13130,65.1,182484,79575
La Liga,17-18,Girona,52.1,51.6,53.03,6170,1659,26.9,1823,3036,1311,46.8,19785,6463,9639,4909,739,331,571,58,368,21,11642,15768,73.8,249892,88601
La Liga,17-18,La Coruña,49.78,60.87,49.16,6300,1629,25.9,2256,2768,1276,46.6,20803,6823,9760,5482,793,367,555,66.1,390,11,12495,16654,75,251741,91337
La Liga,17-18,Las Palmas,37.88,74.43,31.05,5376,1542,28.7,1688,2537,1151,55.1,23464,7843,11744,5488,698,415,630,65.9,444,23,15464,19316,80.1,290501,100477
La Liga,17-18,Leganés,39.26,48.77,44.58,6608,1924,29.1,2026,3188,1394,42.5,18894,6496,8746,4705,646,375,613,61.2,406,22,10262,14694,69.8,206918,84544
La Liga,17-18,Levante,44.2,65.12,41.82,5983,1526,25.5,2062,2735,1186,42.5,18704,6368,8458,5072,742,381,631,60.4,412,30,10603,14519,73,217349,87466
La Liga,17-18,Málaga,35.88,60.24,35.83,6693,1721,25.7,2164,3166,1363,44,19810,6487,9485,4915,633,327,534,61.2,351,16,11306,15652,72.2,230992,90417
La Liga,17-18,Real Madrid,91.29,45.1,79.99,5990,1712,28.6,1820,2733,1437,60.5,27795,7179,13643,8885,1388,433,655,66.1,459,12,20437,23902,85.5,381823,119663
La Liga,17-18,Real Sociedad,56.35,51.13,55.84,5782,1590,27.5,1747,2675,1360,56.8,24504,8009,11740,6590,920,325,559,58.1,354,17,16684,20463,81.5,333953,106359
La Liga,17-18,Sevilla,61.49,54.03,58.61,5809,1642,28.3,1847,2700,1262,54.5,24384,7420,12046,6467,1037,383,593,64.6,415,21,16014,20176,79.4,301534,108388
La Liga,17-18,Valencia,57.76,47.89,58.23,6333,1604,25.3,2164,2841,1328,48.9,22122,7215,10858,5474,852,436,685,63.6,473,25,13926,17596,79.1,280942,97873
La Liga,17-18,Villarreal,55.67,54.24,54.96,5320,1399,26.3,1669,2503,1148,50.5,22773,7590,11508,5181,774,298,503,59.2,329,14,14753,18568,79.5,289536,101295